task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,20,0.105,0.009694070352540258,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,20,0.092,0.00913980306133562,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,20,0.086,0.008865889690267977,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,20,0.066,0.007851369307324678,0.05
Hopper-v5,TD3,DDPG,t-test,0.05,30,0.064,0.007739767438366608,0.05
Hopper-v5,TD3,DDPG,Welch t-test,0.05,30,0.062,0.007626008130076967,0.05
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,30,0.109,0.00985489725973843,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,30,0.132,0.010704017937204702,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,30,0.055,0.00720936890441875,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,30,0.068,0.007960904471226871,0.05
Hopper-v5,TD3,DDPG,t-test,0.01,2,0.028,0.005216895628628198,0.01
Hopper-v5,TD3,DDPG,Welch t-test,0.01,2,0.015,0.003843826218756514,0.01
Hopper-v5,TD3,DDPG,Mann-Whitney,0.01,2,0.0,0.0,0.01
Hopper-v5,TD3,DDPG,Ranked t-test,0.01,2,0.0,0.0,0.01
Hopper-v5,TD3,DDPG,bootstrap,0.01,2,0.418,0.015597307459943206,0.01
Hopper-v5,TD3,DDPG,permutation,0.01,2,0.383,0.015372410351015223,0.01
Hopper-v5,TD3,DDPG,t-test,0.01,3,0.026,0.0050322956987840055,0.01
Hopper-v5,TD3,DDPG,Welch t-test,0.01,3,0.026,0.0050322956987840055,0.01
Hopper-v5,TD3,DDPG,Mann-Whitney,0.01,3,0.0,0.0,0.01
Hopper-v5,TD3,DDPG,Ranked t-test,0.01,3,0.001,0.0009994998749374609,0.01
Hopper-v5,TD3,DDPG,bootstrap,0.01,3,0.202,0.012696298673235441,0.01
Hopper-v5,TD3,DDPG,permutation,0.01,3,0.162,0.011651437679531225,0.01
Hopper-v5,TD3,DDPG,t-test,0.01,5,0.028,0.005216895628628198,0.01
Hopper-v5,TD3,DDPG,Welch t-test,0.01,5,0.018,0.004204283529925164,0.01
Hopper-v5,TD3,DDPG,Mann-Whitney,0.01,5,0.01,0.003146426544510455,0.01
Hopper-v5,TD3,DDPG,Ranked t-test,0.01,5,0.026,0.0050322956987840055,0.01
Hopper-v5,TD3,DDPG,bootstrap,0.01,5,0.082,0.008676174272108648,0.01
Hopper-v5,TD3,DDPG,permutation,0.01,5,0.049,0.006826346021115542,0.01
Hopper-v5,TD3,DDPG,t-test,0.01,10,0.021,0.004534203347888138,0.01
Hopper-v5,TD3,DDPG,Welch t-test,0.01,10,0.026,0.0050322956987840055,0.01
Hopper-v5,TD3,DDPG,Mann-Whitney,0.01,10,0.005,0.0022304708023195463,0.01
Hopper-v5,TD3,DDPG,Ranked t-test,0.01,10,0.016,0.003967870965643918,0.01
Hopper-v5,TD3,DDPG,bootstrap,0.01,10,0.055,0.00720936890441875,0.01
Hopper-v5,TD3,DDPG,permutation,0.01,10,0.029,0.005306505441436953,0.01
Hopper-v5,TD3,DDPG,t-test,0.01,20,0.01,0.003146426544510455,0.01
Hopper-v5,TD3,DDPG,Welch t-test,0.01,20,0.014,0.003715373467095872,0.01
Hopper-v5,TD3,DDPG,Mann-Whitney,0.01,20,0.02,0.004427188724235731,0.01
Hopper-v5,TD3,DDPG,Ranked t-test,0.01,20,0.034,0.005730968504537431,0.01
Hopper-v5,TD3,DDPG,bootstrap,0.01,20,0.026,0.0050322956987840055,0.01
Hopper-v5,TD3,DDPG,permutation,0.01,20,0.019,0.004317290817167636,0.01
Hopper-v5,TD3,DDPG,t-test,0.01,30,0.021,0.004534203347888138,0.01
Hopper-v5,TD3,DDPG,Welch t-test,0.01,30,0.015,0.003843826218756514,0.01
Hopper-v5,TD3,DDPG,Mann-Whitney,0.01,30,0.026,0.0050322956987840055,0.01
Hopper-v5,TD3,DDPG,Ranked t-test,0.01,30,0.037,0.005969170796685248,0.01
Hopper-v5,TD3,DDPG,bootstrap,0.01,30,0.03,0.005394441583704471,0.01
Hopper-v5,TD3,DDPG,permutation,0.01,30,0.018,0.004204283529925164,0.01
Hopper-v5,TD3,PPO,t-test,0.05,2,0.113,0.01001154333756789,0.05
Hopper-v5,TD3,PPO,Welch t-test,0.05,2,0.049,0.006826346021115542,0.05
Hopper-v5,TD3,PPO,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,TD3,PPO,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,TD3,PPO,bootstrap,0.05,2,0.389,0.015416841440450765,0.05
Hopper-v5,TD3,PPO,permutation,0.05,2,0.42,0.015607690412101338,0.05
