task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,1.0,2,0.001,0.0009994998749374609
Hopper-v5,SAC,DDPG,t-test,0.01,1.0,3,0.032,0.005565608681896348
Hopper-v5,SAC,DDPG,Welch t-test,0.01,1.0,3,0.011,0.003298332912245215
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,1.0,3,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,1.0,3,0.002,0.0014127986409959489
Hopper-v5,SAC,DDPG,t-test,0.01,1.0,5,0.056,0.007270763371201128
Hopper-v5,SAC,DDPG,Welch t-test,0.01,1.0,5,0.034,0.005730968504537431
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,1.0,5,0.105,0.009694070352540258
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,1.0,5,0.236,0.013427732496590778
Hopper-v5,SAC,DDPG,t-test,0.01,1.0,10,0.269,0.014022802858202064
Hopper-v5,SAC,DDPG,Welch t-test,0.01,1.0,10,0.237,0.013447341744746431
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,1.0,10,0.372,0.015284501954594399
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,1.0,10,0.487,0.015806043148112688
Hopper-v5,SAC,DDPG,t-test,0.01,1.0,20,0.695,0.014559361249725209
Hopper-v5,SAC,DDPG,Welch t-test,0.01,1.0,20,0.693,0.01458598642533305
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,1.0,20,0.858,0.011037934589405756
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,1.0,20,0.844,0.011474493452871897
Hopper-v5,SAC,DDPG,t-test,0.01,1.0,30,0.915,0.008819013550278736
Hopper-v5,SAC,DDPG,Welch t-test,0.01,1.0,30,0.918,0.008676174272108645
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,1.0,30,0.974,0.005032295698784007
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,1.0,30,0.969,0.005480784615363026
Hopper-v5,SAC,DDPG,t-test,0.01,2.0,2,0.07,0.008068457101577725
Hopper-v5,SAC,DDPG,Welch t-test,0.01,2.0,2,0.022,0.0046385342512479085
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,2.0,2,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,2.0,2,0.0,0.0
Hopper-v5,SAC,DDPG,t-test,0.01,2.0,3,0.165,0.011737759581794134
Hopper-v5,SAC,DDPG,Welch t-test,0.01,2.0,3,0.053,0.00708456067798138
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,2.0,3,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,2.0,3,0.001,0.0009994998749374609
Hopper-v5,SAC,DDPG,t-test,0.01,2.0,5,0.46,0.015760710643876435
Hopper-v5,SAC,DDPG,Welch t-test,0.01,2.0,5,0.389,0.015416841440450765
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,2.0,5,0.336,0.014936666294725875
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,2.0,5,0.512,0.01580683396509244
Hopper-v5,SAC,DDPG,t-test,0.01,2.0,10,0.974,0.005032295698784007
Hopper-v5,SAC,DDPG,Welch t-test,0.01,2.0,10,0.959,0.006270486424512857
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,2.0,10,0.788,0.012925014506761683
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,2.0,10,0.845,0.011444430960078356
Hopper-v5,SAC,DDPG,t-test,0.01,2.0,20,1.0,0.0
Hopper-v5,SAC,DDPG,Welch t-test,0.01,2.0,20,1.0,0.0
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,2.0,20,0.995,0.002230470802319547
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,2.0,20,0.996,0.0019959959919799443
Hopper-v5,SAC,DDPG,t-test,0.01,2.0,30,1.0,0.0
Hopper-v5,SAC,DDPG,Welch t-test,0.01,2.0,30,1.0,0.0
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,2.0,30,1.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,2.0,30,1.0,0.0
Hopper-v5,SAC,PPO,t-test,0.05,0.5,2,0.144,0.011102432165971562
Hopper-v5,SAC,PPO,Welch t-test,0.05,0.5,2,0.072,0.008174105455644672
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,PPO,Ranked t-test,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,PPO,t-test,0.05,0.5,3,0.13,0.010634848376916336
Hopper-v5,SAC,PPO,Welch t-test,0.05,0.5,3,0.078,0.008480330182251162
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,0.5,3,0.0,0.0
Hopper-v5,SAC,PPO,Ranked t-test,0.05,0.5,3,0.189,0.012380589646701001
Hopper-v5,SAC,PPO,t-test,0.05,0.5,5,0.123,0.010386096475577337
Hopper-v5,SAC,PPO,Welch t-test,0.05,0.5,5,0.095,0.00927227048785787
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,0.5,5,0.062,0.007626008130076967
Hopper-v5,SAC,PPO,Ranked t-test,0.05,0.5,5,0.134,0.010772372069326236
Hopper-v5,SAC,PPO,t-test,0.05,0.5,10,0.182,0.012201475320632338
Hopper-v5,SAC,PPO,Welch t-test,0.05,0.5,10,0.191,0.012430567163247218
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,0.5,10,0.18,0.012149074038789953
