task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,TD3,DDPG,Welch t-test,0.05,5,0.056,0.007270763371201128,0.05
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,5,0.04,0.0061967733539318665,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,5,0.073,0.008226238508577295,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,5,0.169,0.011850696182081457,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,5,0.101,0.009528850927577786,0.05
Hopper-v5,TD3,DDPG,t-test,0.05,10,0.069,0.008014923580421713,0.05
Hopper-v5,TD3,DDPG,Welch t-test,0.05,10,0.067,0.007906389820898032,0.05
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,10,0.077,0.00843036179532053,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,10,0.097,0.00935900635751467,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,10,0.091,0.009094998625618368,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,10,0.07,0.008068457101577725,0.05
Hopper-v5,TD3,DDPG,t-test,0.05,20,0.05,0.006892024376045111,0.05
Hopper-v5,TD3,DDPG,Welch t-test,0.05,20,0.068,0.007960904471226871,0.05
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,20,0.123,0.010386096475577337,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,20,0.141,0.011005407761641547,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,20,0.077,0.00843036179532053,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,20,0.057,0.007331507348424334,0.05
Hopper-v5,TD3,DDPG,t-test,0.05,30,0.076,0.008379976133617566,0.05
Hopper-v5,TD3,DDPG,Welch t-test,0.05,30,0.045,0.0065555320150236475,0.05
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,30,0.138,0.01090669519148674,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,30,0.142,0.011037934589405754,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,30,0.06,0.007509993342207435,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,30,0.056,0.007270763371201128,0.05
Hopper-v5,TD3,DDPG,t-test,0.01,2,0.031,0.0054807846153630225,0.01
Hopper-v5,TD3,DDPG,Welch t-test,0.01,2,0.009,0.002986469487538756,0.01
Hopper-v5,TD3,DDPG,Mann-Whitney,0.01,2,0.0,0.0,0.01
Hopper-v5,TD3,DDPG,Ranked t-test,0.01,2,0.0,0.0,0.01
Hopper-v5,TD3,DDPG,bootstrap,0.01,2,0.418,0.015597307459943206,0.01
Hopper-v5,TD3,DDPG,permutation,0.01,2,0.405,0.015523369479594306,0.01
Hopper-v5,TD3,DDPG,t-test,0.01,3,0.032,0.005565608681896348,0.01
Hopper-v5,TD3,DDPG,Welch t-test,0.01,3,0.02,0.004427188724235731,0.01
Hopper-v5,TD3,DDPG,Mann-Whitney,0.01,3,0.0,0.0,0.01
Hopper-v5,TD3,DDPG,Ranked t-test,0.01,3,0.0,0.0,0.01
Hopper-v5,TD3,DDPG,bootstrap,0.01,3,0.189,0.012380589646701001,0.01
Hopper-v5,TD3,DDPG,permutation,0.01,3,0.176,0.012042591083317577,0.01
Hopper-v5,TD3,DDPG,t-test,0.01,5,0.034,0.005730968504537431,0.01
Hopper-v5,TD3,DDPG,Welch t-test,0.01,5,0.025,0.0049371044145328745,0.01
Hopper-v5,TD3,DDPG,Mann-Whitney,0.01,5,0.018,0.004204283529925164,0.01
Hopper-v5,TD3,DDPG,Ranked t-test,0.01,5,0.028,0.005216895628628198,0.01
Hopper-v5,TD3,DDPG,bootstrap,0.01,5,0.086,0.008865889690267977,0.01
Hopper-v5,TD3,DDPG,permutation,0.01,5,0.037,0.005969170796685248,0.01
Hopper-v5,TD3,DDPG,t-test,0.01,10,0.021,0.004534203347888138,0.01
Hopper-v5,TD3,DDPG,Welch t-test,0.01,10,0.016,0.003967870965643918,0.01
Hopper-v5,TD3,DDPG,Mann-Whitney,0.01,10,0.017,0.004087909000944126,0.01
Hopper-v5,TD3,DDPG,Ranked t-test,0.01,10,0.029,0.005306505441436953,0.01
Hopper-v5,TD3,DDPG,bootstrap,0.01,10,0.05,0.006892024376045111,0.01
Hopper-v5,TD3,DDPG,permutation,0.01,10,0.017,0.004087909000944126,0.01
Hopper-v5,TD3,DDPG,t-test,0.01,20,0.017,0.004087909000944126,0.01
Hopper-v5,TD3,DDPG,Welch t-test,0.01,20,0.011,0.003298332912245215,0.01
Hopper-v5,TD3,DDPG,Mann-Whitney,0.01,20,0.032,0.005565608681896348,0.01
Hopper-v5,TD3,DDPG,Ranked t-test,0.01,20,0.04,0.0061967733539318665,0.01
Hopper-v5,TD3,DDPG,bootstrap,0.01,20,0.025,0.0049371044145328745,0.01
Hopper-v5,TD3,DDPG,permutation,0.01,20,0.018,0.004204283529925164,0.01
Hopper-v5,TD3,DDPG,t-test,0.01,30,0.017,0.004087909000944126,0.01
Hopper-v5,TD3,DDPG,Welch t-test,0.01,30,0.023,0.004740358636221525,0.01
Hopper-v5,TD3,DDPG,Mann-Whitney,0.01,30,0.042,0.0063431853196954605,0.01
Hopper-v5,TD3,DDPG,Ranked t-test,0.01,30,0.051,0.00695693898205238,0.01
Hopper-v5,TD3,DDPG,bootstrap,0.01,30,0.022,0.0046385342512479085,0.01
Hopper-v5,TD3,DDPG,permutation,0.01,30,0.016,0.003967870965643918,0.01
Hopper-v5,TD3,PPO,t-test,0.05,2,0.135,0.010806248192596726,0.05
Hopper-v5,TD3,PPO,Welch t-test,0.05,2,0.071,0.008121514637061242,0.05
Hopper-v5,TD3,PPO,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,TD3,PPO,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,TD3,PPO,bootstrap,0.05,2,0.429,0.015651166090742248,0.05
Hopper-v5,TD3,PPO,permutation,0.05,2,0.439,0.015693278816104682,0.05
Hopper-v5,TD3,PPO,t-test,0.05,3,0.091,0.009094998625618368,0.05
Hopper-v5,TD3,PPO,Welch t-test,0.05,3,0.054,0.007147307185227175,0.05
Hopper-v5,TD3,PPO,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,TD3,PPO,Ranked t-test,0.05,3,0.158,0.011534123287012324,0.05
Hopper-v5,TD3,PPO,bootstrap,0.05,3,0.232,0.013348258313353095,0.05
Hopper-v5,TD3,PPO,permutation,0.05,3,0.151,0.01132249972400088,0.05
Hopper-v5,TD3,PPO,t-test,0.05,5,0.056,0.007270763371201128,0.05
Hopper-v5,TD3,PPO,Welch t-test,0.05,5,0.032,0.005565608681896348,0.05
